geometry
LINESTRING (144.950426 -37.820274, 144.950241 -37.820326)
LINESTRING (144.950241 -37.820326, 144.949644 -37.820495)
LINESTRING (144.948742 -37.820503, 144.949194 -37.82038)
LINESTRING (144.949194 -37.82038, 144.949545 -37.820284)
LINESTRING (144.9489 -37.820709, 144.949644 -37.820495)
LINESTRING (144.955816 -37.811866, 144.955799 -37.811846)
LINESTRING (144.955799 -37.811846, 144.955789 -37.811835)
LINESTRING (144.955789 -37.811835, 144.955776 -37.811828)
LINESTRING (144.955776 -37.811828, 144.955532 -37.811691)
LINESTRING (144.955532 -37.811691, 144.955087 -37.811472)
LINESTRING (144.955087 -37.811472, 144.954858 -37.811395)
LINESTRING (144.954858 -37.811395, 144.954601 -37.811323)
LINESTRING (144.954601 -37.811323, 144.953983 -37.811248)
LINESTRING (144.953983 -37.811248, 144.953801 -37.811326)
LINESTRING (144.948686 -37.819712, 144.948657 -37.819149)
LINESTRING (144.948657 -37.819149, 144.948646 -37.818755)
LINESTRING (144.948646 -37.818755, 144.948671 -37.818588)
LINESTRING (144.948671 -37.818588, 144.948667 -37.818495)
LINESTRING (144.948667 -37.818495, 144.948651 -37.818384)
LINESTRING (144.948651 -37.818384, 144.948645 -37.818339)
LINESTRING (144.948645 -37.818339, 144.948639 -37.818317)
LINESTRING (144.957779 -37.820321, 144.957713 -37.820341)
LINESTRING (144.958328 -37.820064, 144.958343 -37.820059)
LINESTRING (144.958343 -37.820059, 144.958346 -37.820064)
LINESTRING (144.958346 -37.820064, 144.958349 -37.820072)
LINESTRING (144.958349 -37.820072, 144.958335 -37.820096)
LINESTRING (144.958335 -37.820096, 144.958313 -37.820134)
LINESTRING (144.958313 -37.820134, 144.958316 -37.820141)
LINESTRING (144.958316 -37.820141, 144.958323 -37.820156)
LINESTRING (144.958323 -37.820156, 144.958278 -37.820174)
LINESTRING (144.957677 -37.820266, 144.957841 -37.820211)
LINESTRING (144.955131 -37.820833, 144.955102 -37.820843)
LINESTRING (144.955102 -37.820843, 144.955071 -37.820844)
LINESTRING (144.955071 -37.820844, 144.954972 -37.82087)
